-> opt_f_extra - run_id = 0 ; N = 200 ; Time = 0.027923
-> opt_f_extra - run_id = 0 ; N = 400 ; Time = 0.275266
-> opt_f_extra - run_id = 0 ; N = 800 ; Time = 1.972409
-> opt_f_extra - run_id = 0 ; N = 1200 ; Time = 6.715251
-> opt_f_extra - run_id = 0 ; N = 1600 ; Time = 23.193926

-> opt_f_extra - run_id = 1 ; N = 200 ; Time = 0.015288
-> opt_f_extra - run_id = 1 ; N = 400 ; Time = 0.240033
-> opt_f_extra - run_id = 1 ; N = 800 ; Time = 1.978254
-> opt_f_extra - run_id = 1 ; N = 1200 ; Time = 5.989909
-> opt_f_extra - run_id = 1 ; N = 1600 ; Time = 22.380791

-> opt_f_extra - run_id = 2 ; N = 200 ; Time = 0.028485
-> opt_f_extra - run_id = 2 ; N = 400 ; Time = 0.288414
-> opt_f_extra - run_id = 2 ; N = 800 ; Time = 2.228143
-> opt_f_extra - run_id = 2 ; N = 1200 ; Time = 6.309494
-> opt_f_extra - run_id = 2 ; N = 1600 ; Time = 23.03384

-> opt_f_extra - run_id = 3 ; N = 200 ; Time = 0.029065
-> opt_f_extra - run_id = 3 ; N = 400 ; Time = 0.282786
-> opt_f_extra - run_id = 3 ; N = 800 ; Time = 1.963831
-> opt_f_extra - run_id = 3 ; N = 1200 ; Time = 6.338908
-> opt_f_extra - run_id = 3 ; N = 1600 ; Time = 23.811209

-> opt_f_extra - run_id = 4 ; N = 200 ; Time = 0.026334
-> opt_f_extra - run_id = 4 ; N = 400 ; Time = 0.272929
-> opt_f_extra - run_id = 4 ; N = 800 ; Time = 2.064204
-> opt_f_extra - run_id = 4 ; N = 1200 ; Time = 6.523029
-> opt_f_extra - run_id = 4 ; N = 1600 ; Time = 22.983963

-> all - blas - run_id = 0 ; N = 200 ; Time = 0.008052
-> all - blas - run_id = 0 ; N = 400 ; Time = 0.045159
-> all - blas - run_id = 0 ; N = 800 ; Time = 0.240535
-> all - blas - run_id = 0 ; N = 1200 ; Time = 0.678953
-> all - blas - run_id = 0 ; N = 1600 ; Time = 1.540177

-> all - neopt - run_id = 0 ; N = 200 ; Time = 0.181478
-> all - neopt - run_id = 0 ; N = 400 ; Time = 1.361956
-> all - neopt - run_id = 0 ; N = 800 ; Time = 10.766535
-> all - neopt - run_id = 0 ; N = 1200 ; Time = 35.666656
-> all - neopt - run_id = 0 ; N = 1600 ; Time = 114.201363

-> all - opt_m - run_id = 0 ; N = 200 ; Time = 0.125168
-> all - opt_m - run_id = 0 ; N = 400 ; Time = 0.747309
-> all - opt_m - run_id = 0 ; N = 800 ; Time = 6.757547
-> all - opt_m - run_id = 0 ; N = 1200 ; Time = 20.111471
-> all - opt_m - run_id = 0 ; N = 1600 ; Time = 72.003571

-> all - opt_f - run_id = 0 ; N = 200 ; Time = 0.045284
-> all - opt_f - run_id = 0 ; N = 400 ; Time = 0.30403
-> all - opt_f - run_id = 0 ; N = 800 ; Time = 2.290663
-> all - opt_f - run_id = 0 ; N = 1200 ; Time = 7.142483
-> all - opt_f - run_id = 0 ; N = 1600 ; Time = 24.115072

-> all - opt_f_extra - run_id = 0 ; N = 200 ; Time = 0.027625
-> all - opt_f_extra - run_id = 0 ; N = 400 ; Time = 0.284541
-> all - opt_f_extra - run_id = 0 ; N = 800 ; Time = 2.202547
-> all - opt_f_extra - run_id = 0 ; N = 1200 ; Time = 6.230106
-> all - opt_f_extra - run_id = 0 ; N = 1600 ; Time = 22.691919

